GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112046339,NW_019862855.1,-,SE,0.003537838,0.063,669691,670012,NW_019862855.1_669691_670012
LOC112046339,NW_019862855.1,-,SE,2.36E-05,0.372,669691,670015,NW_019862855.1_669691_670015
LOC112046339,NW_019862855.1,-,SE,0.000819889,0.083,669691,670015,NW_019862855.1_669691_670015
LOC112043205,NW_019862787.1,+,SE,2.62E-05,0.408,324551,324897,NW_019862787.1_324551_324897
LOC112058428,NW_019862776.1,-,SE,0.000478581,-0.215,1072468,1072698,NW_019862776.1_1072468_1072698
LOC112050367,NW_019862748.1,+,SE,0,0.046,3442758,3443092,NW_019862748.1_3442758_3443092
LOC112046720,NW_019862748.1,+,SE,0,0.276,1902478,1902753,NW_019862748.1_1902478_1902753
LOC112052623,NW_019863164.1,-,SE,0.012719124,-0.03,44903,45314,NW_019863164.1_44903_45314
LOC112046832,NW_019862872.1,+,SE,5.62E-05,-0.124,395048,395422,NW_019862872.1_395048_395422
LOC112051708,NW_019863098.1,+,SE,0.001590944,-0.019,252277,252603,NW_019863098.1_252277_252603
LOC112042896,NW_019862749.1,-,SE,2.23E-08,-0.05,2199971,2200196,NW_019862749.1_2199971_2200196
LOC112045704,NW_019862838.1,+,SE,0.012480041,0.038,612889,613280,NW_019862838.1_612889_613280
LOC112044806,NW_019862817.1,-,SE,0.000155608,0.06,148618,148915,NW_019862817.1_148618_148915
LOC112056031,NW_019863688.1,-,SE,0.036800949,0.232,13596,13965,NW_019863688.1_13596_13965
LOC112047918,NW_019862908.1,-,SE,0.033468774,-0.033,387341,387679,NW_019862908.1_387341_387679
LOC112046844,NW_019862873.1,+,SE,1.72E-05,-0.049,181144,181540,NW_019862873.1_181144_181540
LOC112058377,NW_019862775.1,-,SE,0.000529689,0.024,1682479,1682760,NW_019862775.1_1682479_1682760
LOC112044288,NW_019862806.1,+,SE,0.007959071,0.047,536320,537334,NW_019862806.1_536320_537334
LOC112052388,NW_019863145.1,-,SE,0,-0.833,22725,23018,NW_019863145.1_22725_23018
LOC112043473,NW_019862750.1,+,SE,9.88E-10,-0.41,372006,372295,NW_019862750.1_372006_372295
LOC112043473,NW_019862750.1,+,SE,1.11E-07,-0.31,372006,372295,NW_019862750.1_372006_372295
LOC112046415,NW_019862857.1,-,SE,2.62E-06,0.078,568310,568645,NW_019862857.1_568310_568645
LOC112046415,NW_019862857.1,-,SE,6.83E-06,0.106,568310,568654,NW_019862857.1_568310_568654
LOC112045305,NW_019862828.1,+,SE,0.001997396,-0.168,795846,796079,NW_019862828.1_795846_796079
LOC112045305,NW_019862828.1,+,SE,0.005438109,0.03,798024,798299,NW_019862828.1_798024_798299
LOC112054517,NW_019863368.1,-,SE,8.03E-05,-0.24,189831,190095,NW_019863368.1_189831_190095
LOC112052601,NW_019863161.1,-,SE,0.001930829,0.427,220393,220773,NW_019863161.1_220393_220773
LOC112045528,NW_019862834.1,+,SE,2.61E-12,0.374,395767,396111,NW_019862834.1_395767_396111
LOC112045528,NW_019862834.1,+,SE,0.043235814,0.162,406807,407184,NW_019862834.1_406807_407184
LOC112052043,NW_019863120.1,-,SE,9.62E-11,0.08,91268,91948,NW_019863120.1_91268_91948
LOC112050343,NW_019863018.1,+,SE,0.0001194,-0.199,275888,276148,NW_019863018.1_275888_276148
LOC112042853,NW_019862780.1,+,SE,3.85E-06,0.05,763902,764191,NW_019862780.1_763902_764191
LOC112055597,NW_019862762.1,-,SE,6.79E-11,0.064,1381972,1382315,NW_019862762.1_1381972_1382315
LOC112055035,NW_019863450.1,-,SE,0.020371422,-0.078,56734,57519,NW_019863450.1_56734_57519
LOC112055429,NW_019862762.1,-,SE,5.97E-09,-0.074,340099,340427,NW_019862762.1_340099_340427
LOC112055429,NW_019862762.1,-,SE,6.94E-06,0.522,342701,343029,NW_019862762.1_342701_343029
LOC112055429,NW_019862762.1,-,SE,0.001846712,-0.628,344548,344876,NW_019862762.1_344548_344876
LOC112055429,NW_019862762.1,-,SE,5.97E-11,-0.119,347023,347351,NW_019862762.1_347023_347351
LOC112055429,NW_019862762.1,-,SE,0,-0.266,347023,347351,NW_019862762.1_347023_347351
LOC112055429,NW_019862762.1,-,SE,1.94E-05,-0.398,347023,347351,NW_019862762.1_347023_347351
LOC112055429,NW_019862762.1,-,SE,0.007550062,-0.174,348237,348565,NW_019862762.1_348237_348565
LOC112055429,NW_019862762.1,-,SE,3.42E-05,-0.4,348237,348565,NW_019862762.1_348237_348565
LOC112055429,NW_019862762.1,-,SE,2.72E-05,0.454,348741,349069,NW_019862762.1_348741_349069
LOC112055429,NW_019862762.1,-,SE,0.005214486,0.33,349210,349535,NW_019862762.1_349210_349535
LOC112055429,NW_019862762.1,-,SE,5.04E-08,0.073,349210,349535,NW_019862762.1_349210_349535
LOC112055429,NW_019862762.1,-,SE,0.02764239,-0.278,349650,349972,NW_019862762.1_349650_349972
LOC112048640,NW_019862938.1,-,SE,1.41E-07,-0.128,94029,94325,NW_019862938.1_94029_94325
LOC112048640,NW_019862938.1,-,SE,0.006385496,-0.089,94029,94325,NW_019862938.1_94029_94325
LOC112048640,NW_019862938.1,-,SE,0.025753523,-0.03,151637,151951,NW_019862938.1_151637_151951
LOC112055028,NW_019862762.1,+,SE,0.001239256,-0.037,59233,59968,NW_019862762.1_59233_59968
LOC112045793,NW_019862752.1,+,SE,0.011321533,-0.233,1288851,1289209,NW_019862752.1_1288851_1289209
LOC112045313,NW_019862829.1,-,SE,1.61E-05,-0.079,303071,303354,NW_019862829.1_303071_303354
LOC112052089,NW_019863124.1,+,SE,0.002045581,0.087,306237,306590,NW_019863124.1_306237_306590
LOC112052089,NW_019863124.1,+,SE,0.005740144,0.061,306501,308981,NW_019863124.1_306501_308981
LOC112054793,NW_019863415.1,+,SE,0.003669199,0.134,68533,68907,NW_019863415.1_68533_68907
LOC112051559,NW_019862758.1,-,SE,0.016299143,-0.235,646219,646454,NW_019862758.1_646219_646454
LOC112051516,NW_019862758.1,+,SE,0.011701717,0.031,280680,280908,NW_019862758.1_280680_280908
LOC112047541,NW_019862896.1,-,SE,6.83E-06,0.053,484823,485119,NW_019862896.1_484823_485119
LOC112044087,NW_019862803.1,+,SE,9.36E-05,-0.111,358804,359165,NW_019862803.1_358804_359165
LOC112050417,NW_019862756.1,+,SE,0,0.446,1857553,1857816,NW_019862756.1_1857553_1857816
LOC112050417,NW_019862756.1,+,SE,0.006152829,0.041,1857553,1857816,NW_019862756.1_1857553_1857816
LOC112054363,NW_019863351.1,-,SE,0.030885915,0.06,116411,116713,NW_019863351.1_116411_116713
LOC112044894,NW_019862751.1,-,SE,0.002576762,0.092,1710750,1711175,NW_019862751.1_1710750_1711175
LOC112044894,NW_019862751.1,-,SE,0.001553564,0.069,1710750,1711181,NW_019862751.1_1710750_1711181
LOC112051577,NW_019863090.1,-,SE,0.0001194,-0.031,42941,43238,NW_019863090.1_42941_43238
LOC112049404,NW_019862971.1,-,SE,0.002066292,-0.107,734178,734423,NW_019862971.1_734178_734423
LOC112045687,NW_019862838.1,-,SE,0.02219807,0.175,370806,371078,NW_019862838.1_370806_371078
LOC112053443,NW_019862760.1,+,SE,4.08E-05,-0.061,55165,55691,NW_019862760.1_55165_55691
LOC112053443,NW_019862760.1,+,SE,5.97E-06,-0.068,55360,55691,NW_019862760.1_55360_55691
LOC112053443,NW_019862760.1,+,SE,6.11E-06,-0.063,55370,55691,NW_019862760.1_55370_55691
LOC112054267,NW_019863335.1,+,SE,0.019065467,-0.053,31866,32216,NW_019863335.1_31866_32216
LOC112045354,NW_019862829.1,+,SE,0.002074465,-0.034,207884,208178,NW_019862829.1_207884_208178
LOC112055393,NW_019862762.1,+,SE,0.004259409,-0.2,275780,276098,NW_019862762.1_275780_276098
LOC112055393,NW_019862762.1,+,SE,2.42E-06,-0.219,275780,276098,NW_019862762.1_275780_276098
LOC112055393,NW_019862762.1,+,SE,0.006972683,-0.177,279762,280095,NW_019862762.1_279762_280095
LOC112055393,NW_019862762.1,+,SE,0.002062691,0.034,282844,283147,NW_019862762.1_282844_283147
LOC112055393,NW_019862762.1,+,SE,0.009440017,0.033,282844,283147,NW_019862762.1_282844_283147
LOC112043861,NW_019862799.1,+,SE,3.91E-06,-0.052,1081053,1081289,NW_019862799.1_1081053_1081289
LOC112043861,NW_019862799.1,+,SE,0.001297906,0.328,1083277,1083682,NW_019862799.1_1083277_1083682
LOC112043861,NW_019862799.1,+,SE,0.001034348,0.044,1084515,1085708,NW_019862799.1_1084515_1085708
LOC112058448,NW_019862776.1,-,SE,0.012109624,0.027,1582405,1582737,NW_019862776.1_1582405_1582737
LOC112058448,NW_019862776.1,-,SE,0.022753553,0.055,1584050,1584275,NW_019862776.1_1584050_1584275
LOC112054077,NW_019863315.1,+,SE,0.0030721,0.192,97608,97880,NW_019863315.1_97608_97880
LOC112054077,NW_019863315.1,+,SE,5.78E-06,-0.191,106803,107086,NW_019863315.1_106803_107086
LOC112054077,NW_019863315.1,+,SE,8.56E-05,-0.152,109047,109325,NW_019863315.1_109047_109325
LOC112054077,NW_019863315.1,+,SE,0,0.351,109047,109325,NW_019863315.1_109047_109325
LOC112048068,NW_019862754.1,+,SE,0.008709159,-0.116,1622275,1622553,NW_019862754.1_1622275_1622553
LOC112045056,NW_019862823.1,+,SE,0.01220507,-0.102,347121,347375,NW_019862823.1_347121_347375
LOC112049745,NW_019862987.1,+,SE,0.018687557,0.261,435665,436019,NW_019862987.1_435665_436019
LOC112050788,NW_019863043.1,+,SE,0.015355683,-0.392,375095,375368,NW_019863043.1_375095_375368
LOC112050796,NW_019863043.1,+,SE,0.040026582,0.043,45671,45945,NW_019863043.1_45671_45945
LOC112047740,NW_019862903.1,+,SE,0.002526188,-0.163,723758,724003,NW_019862903.1_723758_724003
LOC112049870,NW_019862756.1,-,SE,0.000125052,-0.069,646951,647275,NW_019862756.1_646951_647275
LOC112049870,NW_019862756.1,-,SE,0,-0.316,646951,647275,NW_019862756.1_646951_647275
LOC112051313,NW_019863074.1,+,SE,0.007540461,-0.049,162521,162784,NW_019863074.1_162521_162784
LOC112046887,NW_019862874.1,-,SE,0.00852719,0.342,22190,22611,NW_019862874.1_22190_22611
LOC112047356,NW_019862890.1,+,SE,0.003731552,-0.238,324774,325105,NW_019862890.1_324774_325105
LOC112047356,NW_019862890.1,+,SE,0.011429423,-0.346,324774,325105,NW_019862890.1_324774_325105
LOC112047356,NW_019862890.1,+,SE,0.001615058,-0.456,326214,326581,NW_019862890.1_326214_326581
LOC112047356,NW_019862890.1,+,SE,0.001039842,-0.36,326214,326581,NW_019862890.1_326214_326581
LOC112043130,NW_019862786.1,-,SE,1.95E-08,0.577,1108378,1108698,NW_019862786.1_1108378_1108698
LOC112043130,NW_019862786.1,-,SE,0.000149449,0.544,1108390,1108698,NW_019862786.1_1108390_1108698
LOC112047214,NW_019862884.1,-,SE,0.004584917,0.033,365303,365629,NW_019862884.1_365303_365629
LOC112043853,NW_019862799.1,-,SE,6.72E-05,-0.091,846947,847210,NW_019862799.1_846947_847210
LOC112043853,NW_019862799.1,-,SE,1.48E-05,-0.536,847957,848238,NW_019862799.1_847957_848238
LOC112043853,NW_019862799.1,-,SE,0.000423681,-0.113,848944,849210,NW_019862799.1_848944_849210
LOC112043853,NW_019862799.1,-,SE,7.62E-05,0.079,848944,849210,NW_019862799.1_848944_849210
LOC112043853,NW_019862799.1,-,SE,0.007107864,-0.179,848944,849219,NW_019862799.1_848944_849219
LOC112043853,NW_019862799.1,-,SE,0.001666412,0.172,848944,849219,NW_019862799.1_848944_849219
LOC112052165,NW_019863131.1,-,SE,0.003101407,-0.116,125165,125470,NW_019863131.1_125165_125470
LOC112053743,NW_019863277.1,-,SE,9.94E-06,0.404,31035,31349,NW_019863277.1_31035_31349
LOC112053743,NW_019863277.1,-,SE,0.003054011,0.269,31369,31734,NW_019863277.1_31369_31734
LOC112052839,NW_019862748.1,-,SE,3.35E-05,0.062,4100308,4100634,NW_019862748.1_4100308_4100634
LOC112052839,NW_019862748.1,-,SE,0.001216334,0.111,4108433,4108771,NW_019862748.1_4108433_4108771
LOC112048433,NW_019862930.1,+,SE,1.42E-05,-0.031,417761,417970,NW_019862930.1_417761_417970
LOC112054440,NW_019863357.1,+,SE,9.30E-06,0.032,134183,134482,NW_019863357.1_134183_134482
LOC112054440,NW_019863357.1,+,SE,0.037022715,-0.094,134896,135195,NW_019863357.1_134896_135195
LOC112052559,NW_019863157.1,+,SE,3.19E-05,0.064,71444,71680,NW_019863157.1_71444_71680
LOC112052559,NW_019863157.1,+,SE,0.001422561,0.043,107626,107867,NW_019863157.1_107626_107867
LOC112058550,NW_019862778.1,-,SE,0,0.098,1102868,1103181,NW_019862778.1_1102868_1103181
LOC112058550,NW_019862778.1,-,SE,0,-0.248,1103134,1103465,NW_019862778.1_1103134_1103465
LOC112052867,NW_019863182.1,-,SE,1.63E-05,0.122,230886,231252,NW_019863182.1_230886_231252
LOC112052867,NW_019863182.1,-,SE,3.78E-08,-0.073,232671,233037,NW_019863182.1_232671_233037
LOC112051523,NW_019863087.1,+,SE,0.0002946,0.09,159548,159951,NW_019863087.1_159548_159951
LOC112051523,NW_019863087.1,+,SE,0.001405168,-0.01,179021,179357,NW_019863087.1_179021_179357
LOC112051523,NW_019863087.1,+,SE,4.17E-05,-0.013,179358,179694,NW_019863087.1_179358_179694
LOC112052337,NW_019863141.1,-,SE,0.002001931,-0.032,172618,172926,NW_019863141.1_172618_172926
LOC112052337,NW_019863141.1,-,SE,0.027266758,-0.128,179558,179770,NW_019863141.1_179558_179770
LOC112043143,NW_019862749.1,+,SE,4.09E-08,-0.225,2853199,2853445,NW_019862749.1_2853199_2853445
LOC112051371,NW_019863078.1,-,SE,0.036367195,-0.05,45597,45993,NW_019863078.1_45597_45993
LOC112056771,NW_019863975.1,-,SE,9.89E-09,-0.514,14764,15051,NW_019863975.1_14764_15051
LOC112051008,NW_019863056.1,-,SE,0.020133823,0.419,165026,165410,NW_019863056.1_165026_165410
LOC112058474,NW_019862777.1,-,SE,2.85E-10,-0.172,806358,806612,NW_019862777.1_806358_806612
LOC112046146,NW_019862849.1,+,SE,0.00207775,0.276,797515,797824,NW_019862849.1_797515_797824
LOC112050715,NW_019863039.1,-,SE,0.036887012,-0.02,129759,130091,NW_019863039.1_129759_130091
LOC112053596,NW_019863259.1,+,SE,3.35E-05,0.029,294739,295002,NW_019863259.1_294739_295002
LOC112048517,NW_019862933.1,-,SE,0.000106833,-0.052,589989,590216,NW_019862933.1_589989_590216
LOC112056844,NW_019864022.1,+,SE,0,0.051,16604,16975,NW_019864022.1_16604_16975
LOC112044077,NW_019862803.1,+,SE,0.000308645,-0.107,139309,139644,NW_019862803.1_139309_139644
LOC112044077,NW_019862803.1,+,SE,0.000277319,0.326,141389,141723,NW_019862803.1_141389_141723
LOC112056683,NW_019863941.1,-,SE,0.039000624,-0.11,60092,60997,NW_019863941.1_60092_60997
LOC112056683,NW_019863941.1,-,SE,2.19E-07,0.374,61641,61970,NW_019863941.1_61641_61970
LOC112045516,NW_019862834.1,-,SE,0.039346981,-0.056,751371,751801,NW_019862834.1_751371_751801
LOC112046963,NW_019862879.1,+,SE,0.013024052,-0.028,51711,52009,NW_019862879.1_51711_52009
LOC112051387,NW_019863080.1,-,SE,0.000612428,0.365,232055,232281,NW_019863080.1_232055_232281
LOC112056645,NW_019862763.1,+,SE,0.032972659,0.013,1053929,1054210,NW_019862763.1_1053929_1054210
LOC112044293,NW_019862750.1,+,SE,0.000300284,0.049,2047017,2047391,NW_019862750.1_2047017_2047391
LOC112055469,NW_019863528.1,+,SE,0.000772295,-0.065,29447,29887,NW_019863528.1_29447_29887
LOC112049842,NW_019862994.1,+,SE,0.015153025,-0.1,99037,99289,NW_019862994.1_99037_99289
LOC112044494,NW_019862810.1,+,SE,0.003426159,0.029,739293,739733,NW_019862810.1_739293_739733
LOC112050999,NW_019863056.1,+,SE,8.59E-06,0.227,189185,189613,NW_019863056.1_189185_189613
LOC112049052,NW_019862956.1,-,SE,0.001202606,-0.22,503823,504391,NW_019862956.1_503823_504391
LOC112049052,NW_019862956.1,-,SE,0.041807014,-0.194,503823,504966,NW_019862956.1_503823_504966
LOC112047434,NW_019862893.1,-,SE,0,-0.067,382005,382675,NW_019862893.1_382005_382675
LOC112048039,NW_019862913.1,+,SE,0.002200706,0.035,460944,461211,NW_019862913.1_460944_461211
LOC112043700,NW_019862750.1,-,SE,0.000269068,-0.052,1289527,1289859,NW_019862750.1_1289527_1289859
LOC112046025,NW_019862846.1,+,SE,0.00325214,0.041,693960,694315,NW_019862846.1_693960_694315
LOC112043045,NW_019862784.1,+,SE,0.020191972,-0.058,1522774,1523118,NW_019862784.1_1522774_1523118
LOC112046166,NW_019862849.1,+,SE,0.000851303,0.036,607871,608284,NW_019862849.1_607871_608284
LOC112053274,NW_019863223.1,+,SE,2.96E-06,-0.248,161386,161792,NW_019863223.1_161386_161792
LOC112046705,NW_019862868.1,-,SE,5.18E-05,-0.159,492873,493804,NW_019862868.1_492873_493804
LOC112046894,NW_019862874.1,+,SE,1.14E-07,-0.063,272302,272919,NW_019862874.1_272302_272919
LOC112045772,NW_019862840.1,-,SE,4.55E-09,0.021,445871,446227,NW_019862840.1_445871_446227
LOC112044750,NW_019862817.1,-,SE,4.41E-11,0.225,865994,866411,NW_019862817.1_865994_866411
LOC112043032,NW_019862784.1,-,SE,4.76E-06,0.057,1173581,1173841,NW_019862784.1_1173581_1173841
LOC112051972,NW_019863117.1,+,SE,0.001904663,0.26,137650,137895,NW_019863117.1_137650_137895
LOC112043926,NW_019862750.1,-,SE,0.007664799,-0.124,1898959,1899302,NW_019862750.1_1898959_1899302
LOC112051638,NW_019863093.1,-,SE,0.012018523,0.016,300507,300876,NW_019863093.1_300507_300876
LOC112058326,NW_019862774.1,-,SE,0.008846811,-0.112,1343102,1343456,NW_019862774.1_1343102_1343456
LOC112054036,NW_019863307.1,+,SE,3.06E-08,0.329,139703,139995,NW_019863307.1_139703_139995
LOC112054036,NW_019863307.1,+,SE,0.006385496,0.148,140541,140896,NW_019863307.1_140541_140896
LOC112049495,NW_019862976.1,-,SE,0.014738029,-0.192,82561,83259,NW_019862976.1_82561_83259
LOC112054766,NW_019863407.1,-,SE,0.006969321,0.13,68012,68480,NW_019863407.1_68012_68480
LOC112052141,NW_019863130.1,-,SE,2.70E-11,0.231,77997,78307,NW_019863130.1_77997_78307
LOC112052141,NW_019863130.1,-,SE,3.21E-10,0.203,77997,78310,NW_019863130.1_77997_78310
LOC112057694,NW_019862765.1,+,SE,9.17E-06,-0.146,1286639,1286917,NW_019862765.1_1286639_1286917
LOC112045576,NW_019862752.1,+,SE,0.000120197,-0.359,860512,860768,NW_019862752.1_860512_860768
LOC112043199,NW_019862787.1,-,SE,0.015043434,0.089,27259,27738,NW_019862787.1_27259_27738
LOC112049503,NW_019862976.1,-,SE,5.73E-12,0.03,436098,436361,NW_019862976.1_436098_436361
LOC112049503,NW_019862976.1,-,SE,1.06E-06,-0.107,436973,437236,NW_019862976.1_436973_437236
LOC112049503,NW_019862976.1,-,SE,9.09E-06,0.159,441669,441940,NW_019862976.1_441669_441940
LOC112055519,NW_019863544.1,-,SE,0.043295316,0.016,99278,99673,NW_019863544.1_99278_99673
LOC112055491,NW_019862748.1,+,SE,0.000214654,-0.085,467944,468294,NW_019862748.1_467944_468294
LOC112055262,NW_019862762.1,-,SE,0.006239772,-0.05,188134,188762,NW_019862762.1_188134_188762
LOC112055262,NW_019862762.1,-,SE,0.046545381,0.016,188754,189086,NW_019862762.1_188754_189086
LOC112048503,NW_019862933.1,+,SE,1.34E-06,0.236,113926,114322,NW_019862933.1_113926_114322
LOC112048503,NW_019862933.1,+,SE,1.52E-10,0.324,113926,114322,NW_019862933.1_113926_114322
LOC112046365,NW_019862752.1,-,SE,0.033740551,0.026,65226,65559,NW_019862752.1_65226_65559
LOC112042935,NW_019862782.1,-,SE,0.025928228,0.024,1150792,1151036,NW_019862782.1_1150792_1151036
LOC112042935,NW_019862782.1,-,SE,2.37E-07,0.116,1151710,1152090,NW_019862782.1_1151710_1152090
LOC112042935,NW_019862782.1,-,SE,9.96E-07,0.122,1153148,1153444,NW_019862782.1_1153148_1153444
LOC112042935,NW_019862782.1,-,SE,0.000327664,0.021,1157028,1157414,NW_019862782.1_1157028_1157414
LOC112042935,NW_019862782.1,-,SE,0.02068638,0.042,1207755,1208111,NW_019862782.1_1207755_1208111
LOC112042935,NW_019862782.1,-,SE,0.001596906,-0.042,1218531,1218821,NW_019862782.1_1218531_1218821
LOC112049762,NW_019862988.1,+,SE,1.30E-08,-0.12,183799,184071,NW_019862988.1_183799_184071
LOC112047120,NW_019862882.1,-,SE,0.036066315,-0.175,757655,758093,NW_019862882.1_757655_758093
LOC112048050,NW_019862754.1,-,SE,0.044212315,0.066,1606504,1606805,NW_019862754.1_1606504_1606805
LOC112046090,NW_019862847.1,-,SE,0.009640981,-0.057,427497,428024,NW_019862847.1_427497_428024
LOC112054666,NW_019862761.1,+,SE,0.018444941,-0.073,1963298,1963654,NW_019862761.1_1963298_1963654
LOC112057669,NW_019862765.1,+,SE,6.21E-06,0.237,837860,838155,NW_019862765.1_837860_838155
LOC112057669,NW_019862765.1,+,SE,0.039775854,0.117,861736,861963,NW_019862765.1_861736_861963
LOC112052860,NW_019863182.1,+,SE,0,0.364,36504,36764,NW_019863182.1_36504_36764
LOC112058572,NW_019862778.1,+,SE,8.84E-10,0.181,1382178,1382479,NW_019862778.1_1382178_1382479
LOC112045140,NW_019862824.1,-,SE,0.025338853,-0.02,573284,573706,NW_019862824.1_573284_573706
LOC112045140,NW_019862824.1,-,SE,0.002952814,-0.027,574934,575233,NW_019862824.1_574934_575233
LOC112057989,NW_019862770.1,+,SE,0.000143264,-0.078,1296216,1296993,NW_019862770.1_1296216_1296993
LOC112046190,NW_019862850.1,-,SE,7.24E-08,-0.105,415372,415665,NW_019862850.1_415372_415665
LOC112047811,NW_019862904.1,-,SE,0.045189489,-0.026,249418,249829,NW_019862904.1_249418_249829
LOC112050902,NW_019863049.1,-,SE,0.038201289,-0.054,32843,33085,NW_019863049.1_32843_33085
LOC112045861,NW_019862842.1,-,SE,0.023663684,-0.047,608758,609073,NW_019862842.1_608758_609073
LOC112046693,NW_019862867.1,+,SE,0.000805871,-0.018,669234,670202,NW_019862867.1_669234_670202
LOC112046693,NW_019862867.1,+,SE,5.21E-12,-0.074,672456,672719,NW_019862867.1_672456_672719
LOC112046693,NW_019862867.1,+,SE,0.000701865,0.087,675284,675631,NW_019862867.1_675284_675631
LOC112046693,NW_019862867.1,+,SE,7.76E-05,0.09,675287,675631,NW_019862867.1_675287_675631
LOC112047834,NW_019862905.1,-,SE,0.000263692,0.023,524998,525267,NW_019862905.1_524998_525267
LOC112048035,NW_019862913.1,-,SE,0.000178086,-0.051,291440,291873,NW_019862913.1_291440_291873
LOC112048035,NW_019862913.1,-,SE,0.000213685,-0.088,291440,291882,NW_019862913.1_291440_291882
LOC112053034,NW_019863198.1,+,SE,0.00047207,0.149,147813,148084,NW_019863198.1_147813_148084
LOC112054414,NW_019863355.1,+,SE,4.39E-05,-0.09,175944,176254,NW_019863355.1_175944_176254
LOC112049613,NW_019862981.1,+,SE,0.000197143,-0.111,229513,229788,NW_019862981.1_229513_229788
LOC112049613,NW_019862981.1,+,SE,0,-0.137,233116,233364,NW_019862981.1_233116_233364
LOC112049613,NW_019862981.1,+,SE,1.97E-05,-0.138,236496,236838,NW_019862981.1_236496_236838
LOC112046441,NW_019862857.1,+,SE,2.77E-05,0.044,288851,289072,NW_019862857.1_288851_289072
LOC112055556,NW_019863549.1,+,SE,1.72E-05,0.266,87167,87507,NW_019863549.1_87167_87507
LOC112055556,NW_019863549.1,+,SE,0.008416977,0.17,87222,87507,NW_019863549.1_87222_87507
LOC112049399,NW_019862971.1,+,SE,1.90E-10,0.036,208769,209065,NW_019862971.1_208769_209065
LOC112047770,NW_019862904.1,+,SE,6.88E-07,-0.183,998639,998928,NW_019862904.1_998639_998928
LOC112047770,NW_019862904.1,+,SE,4.75E-06,-0.129,1000221,1000544,NW_019862904.1_1000221_1000544
LOC112046931,NW_019862753.1,+,SE,9.17E-06,-0.019,1212609,1212922,NW_019862753.1_1212609_1212922
